can_id,can_data,interval_ms
0x18C4D2D0,84 BB 10 FA 0F 00 20 FA,10
0x18C4D2D0,84 BB 10 FA 0F 00 30 EA,10
0x18C4D2D0,84 BB 10 FA 0F 00 40 9A,10
0x18C4D2D0,84 BB 10 FA 0F 00 50 8A,10
0x18C4D2D0,84 BB 10 FA 0F 00 60 BA,10
0x18C4D2D0,84 BB 10 FA 0F 00 70 AA,10
0x18C4D2D0,84 BB 10 FA 0F 00 80 5A,10
0x18C4D2D0,84 BB 10 FA 0F 00 90 4A,10
0x18C4D2D0,84 BB 10 FA 0F 00 A0 7A,10
0x18C4D2D0,84 BB 10 FA 0F 00 B0 6A,10
0x18C4D2D0,84 BB 10 FA 0F 00 C0 1A,10
0x18C4D2D0,84 BB 10 FA 0F 00 D0 0A,10
0x18C4D2D0,84 BB 10 FA 0F 00 E0 3A,10
0x18C4D2D0,84 BB 10 FA 0F 00 F0 2A,10
0x18C4D2D0,84 BB 10 FA 0F 00 00 DA,10
0x18C4D2D0,84 BB 10 FA 0F 00 10 CA,10
0x18C4D2D0,84 BB 10 FA 0F 00 20 FA,10
0x18C4D2D0,84 BB 10 FA 0F 00 30 EA,10
0x18C4D2D0,84 BB 10 FA 0F 00 40 9A,10
0x18C4D2D0,84 BB 10 FA 0F 00 50 8A,10
0x18C4D2D0,84 BB 10 FA 0F 00 60 BA,10
0x18C4D2D0,84 BB 10 FA 0F 00 70 AA,10
0x18C4D2D0,84 BB 10 FA 0F 00 80 5A,10
0x18C4D2D0,84 BB 10 FA 0F 00 90 4A,10
0x18C4D2D0,84 BB 10 FA 0F 00 A0 7A,10
0x18C4D2D0,84 BB 10 FA 0F 00 B0 6A,10
0x18C4D2D0,84 BB 10 FA 0F 00 C0 1A,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
